연번,호선,한글,한자,영문,중국어,일본어
148,5호선,청구,靑丘,Cheonggu,青丘,チョング
149,5호선,신금호,新金湖,Singeumho,新金湖,シングムホ
150,5호선,행당,杏堂,Haengdang,杏堂,ヘンダン
151,5호선,왕십리(성동구청),往十里(城東區廳),Wangsimni(Seongdonggu Office),往十里(城东区厅),ワンシムニ(ソンドン区庁)
152,5호선,마장,馬場,Majang,马场,マジャン
153,5호선,답십리,踏十里,Dapsimni,踏十里,タプシムニ
154,5호선,장한평,長漢坪,Janghanpyeong,长汉坪,チャンハンピョン
155,5호선,군자(능동),君子(陵洞),Gunja(Neungdong),君子(陵洞),クンジャ
156,5호선,아차산(어린이대공원후문),峨嵯山(어린이大公園後門),Achasan(Rear Entrance to Seoul Children's Grand Park),峨嵯山(儿童大公园后门),アチャサン
157,5호선,광나루(장신대),광나루(長神大),Gwangnaru(Presbyterian University & Theological Seminary),广渡口(长神大学),クァンナル
158,5호선,천호(풍납토성),千戶(風納土城),Cheonho(Pungnaptoseong),千戶(风纳土城),チョンホ
159,5호선,강동,江東,Gangdong,江东,カンドン
160,5호선,길동,吉洞,Gildong,吉洞,キルトン
161,5호선,굽은다리(강동구민회관앞),굽은다리(江東區民會館앞),Gubeundari(Gangdong Community Center ),曲桥(江东区民会馆),クブンダリ
162,5호선,명일,明逸,Myeongil,明逸,ミョンイル
163,5호선,고덕,高德,Godeok,高德,コドク
164,5호선,상일동,上一洞,Sangildong,上一洞,サンイルトン
165,5호선,둔촌동,遁村洞,Dunchondong,遁村洞,トゥンチョンドン
166,5호선,올림픽공원(한국체대),올림픽公園(韓國體大),Olympic Park(Korea National Sport University),奥林匹克公园(韩国体育大学),オリンピックゴンウォン
167,5호선,방이,芳荑,Bangi,芳荑,パンイ
168,5호선,오금,梧琴,Ogeum,梧琴,オグム
169,5호선,개롱,開籠,Gaerong,开笼,ケロン
170,5호선,거여,巨余,Geoyeo,巨余,コヨ
171,5호선,마천,馬川,Macheon,马川,マチョン
172,5호선,강일,江一,Gangil,江一,カンイル
173,5호선,미사,渼沙,Misa,渼沙,ミサ
174,5호선,하남풍산,河南豊山,Hanam Pungsan,河南丰山,ハナンプンサン
175,5호선,하남시청(덕풍·신장),河南市廳(德豊∙新長),Hanam City Hall (Deokpung&Sinjang),河南市厅(德丰·新长),ハナムシチョン (トクプン∙シンジャン)
176,5호선,하남검단산,河南黔丹山,Hanam Geomdansan,河南黔丹山,ハナムゴムダンサン
177,6호선,응암,鷹岩,Eungam,鹰岩,ウンアム
178,6호선,역촌,驛村,Yeokchon,驿村,ヨクチョン
